doc_id,500 abstracts,clean_text,Sentiment
108,abstract not found,abstract not found,Positive
109,"with the increasing complexity from an evolving smart grid, the significance of providing real-time situational awareness and the ability to leverage advanced reasoning and prediction for control and automation will become key differentiators for service providers. similar techniques are being",with the increas complex from an revolv smart grid the signific of provid real-tim situat awar and the abil to beverag advanc reason and predict for control and automat will becom key differenti for servic provid similar techniqu are be,Negative
110,"threatening long-term trends or immediate crises. the main objective of this work is to design techniques for using agent-based smart home technologies to provide this at-home health monitoring and assistance. specifically, we address the following technological challenges: 1) identifying lifestyle trends, 2",threaten long-term tend or immedi crisi the main object of thi work is to design techniqu for use agent-bas smart home technolog to provid thi at-hom health monitor and assist specif we address the follow technolog challeng 1 identifi lifestyl tend 2,Neutral
111,abstract the purpose of this study was to identify the effect of the smart care ubiquitous healthcare service on hypertension management. fifty one patients with inadequately controlled blood pressure (systolic blood pressure ≥ 140 mmhg despite prescribed antihypertensive medication) from 4 local,abstract the purpos of thi studi wa to identifi the effect of the smart care ubiquit healthcar servic on hypertens manag fifti one patient with inadequ control blood pressur systol blood pressur ≥ 140 mug despit prescrib antihypertens medit from 4 local,Negative
112,serious consequences when they have an emergency situation. however health-monitoring systems are often not affordable for many seniors. the remote health monitoring system presented in this paper addresses the challenge to provide caregivers an emergency alert system for the elderly based on monitoring,seriou consequ when they have an emerg situat howev health-monitor system are often not unford for mani senior the remot health monitor system present in thi paper address the challeng to provid caregiv an emerg alert system for the elderli base on monitor,Negative
113,abstract health care industry is one of the most interesting domains where we can bring innovative and smart technologies that can have a big positive impact on our health. these days people are starting to be more and more concerned about their health and they are interested in having small,abstract health care industri is one of the most interest domain where we can bring innov and smart technolog that can have a big posit impact on our health these day peopl are start to be more and more concern about their health and they are interest in have small,Positive
114,"user-centric privacy management is an impor-tant component of the personal web, and even more so in the context of personal health appli-cations. in this position paper, we propose a logical framework for smart privacy based on a modu-lar and extensible ontology that supports rea-soning about",user-centr privaci manag is an import-w compon of the person web and even more so in the context of person health apply-n in thi posit paper we propos a logic framework for smart privaci base on a mode-war and extens ontolog that support red-sow about,Positive
115,"the examination cost and decreases the accuracy of the natural gait model. in this paper, we present a novel portable system, called smart insole, to address the current issues. smart insole integrates low cost sensors and computes important gait features. in this way, patients or users can wear smart insole",the examin cost and decreas the accuraci of the natur gait model in thi paper we present a novel portabl system call smart sole to address the current issu smart sole integr low cost sensori and comput import gait featur in thi way patient or user can wear smart sole,Negative
116,this paper describes the application of a structural health monitoring technique based on electrical measurements obtained by piezoceramics (pzt) patches bonded in lightweight structures. the goal is to detect and locate imminent structural change occurrence with statistical confidence through a,thi paper describ the applic of a structur health monitor techniqu base on electr measur obtain by piezoceram put patch bond in lightweight structur the goal is to detect and locat immin structur chang occurr with statist confid through a,Positive
117,"a new system combining embedded networked sensing, signal processing, and state detection algorithms have been developed to create a smart shoe for individuals who are prone to falls. this system monitors walking behaviors and uses a fall risk estimation model to predict the future risk of a fall",a new system combin embed network sens signal process and state detect algorithm have been develop to creat a smart shoe for individu who are prone to fall thi system monitor walk behavior and use a fall risk estim model to predict the futur risk of a fall,Neutral
118,"in the collection of possible non destructive techniques used for bridges, acoustic emission is a favourite non-destructive solution towards health monitoring of cables of suspended bridges. a first generation of such an acoustic system made of a supervisor and a distribution of wired sensors fixed",in the collect of possibl non destruct techniqu use for bridg caustic emiss is a favourit non-destruct solut toward health monitor of tabl of suspend bridg a first gener of such an caustic system made of a supervisor and a distribut of wire sensori fix,Neutral
119,"abstract: this paper introduces the bio-signal processing unit (bspu) as a functional component that hosts (part of) the bio-signal information processing algorithms that are needed for an m-health application. with our approach, the bspus can be dynamically assigned to available nodes between",abstract thi paper introduc the big-sign process unit spi as a function compon that host part of the big-sign inform process algorithm that are need for an m-health applic with our approach the pu can be dynam assign to avail node between,Neutral
120,"abstract governments and health care payers everywhere seek ways how to design public funding policies for high-cost drugs, which are increasingly personalized and often only effective in small population groups or sub-groups. access to drugs is usually preceded by health technology assessment",abstract govern and health care paper everywher seek way how to design public fund polici for high-cost drug which are increasingli person and often onli effect in small popul group or sub-group access to drug is usual preced by health technolog assess,Neutral
121,"safer, sustainable produce for healthy children fruits and vegetables provide essential minerals, vitamins and fiber that are critical for growing children and pregnant and nursing women. to maximize health benefits, everyone should try to eat three to five servings of vegetables and two to four",safer sustain produc for healthi children fruit and veget provid essenti miner vitamin and finer that are critic for grow children and pregnant and nurs women to minim health benefit everyon should tri to eat three to five serv of veget and two to four,Positive
122,"safer, sustainable produce for healthy children fruits and vegetables provide essential minerals, vitamins and fiber that are critical for growing children and pregnant and nursing women. to maximize health benefits, everyone should try to eat three to five servings of vegetables and two to four",safer sustain produc for healthi children fruit and veget provid essenti miner vitamin and finer that are critic for grow children and pregnant and nurs women to minim health benefit everyon should tri to eat three to five serv of veget and two to four,Positive
123,"safer, sustainable produce for healthy children fruits and vegetables provide essential minerals, vitamins and fiber that are critical for growing children and pregnant and nursing women. to maximize health benefits, everyone should try to eat three to five servings of vegetables and two to four",safer sustain produc for healthi children fruit and veget provid essenti miner vitamin and finer that are critic for grow children and pregnant and nurs women to minim health benefit everyon should tri to eat three to five serv of veget and two to four,Negative
124,"different sources (online water quality monitoring, consumer complaints, enhanced security, pub-lic health surveillance, and sampling and analysis) and graphically display actionable information for operators to evaluate and respond to appropriately. the most significant finding that arose from",differ sourc onlin water qualiti monitor consum complaint enhanc secur pub-li health surveil and smile and analysi and graphic display action inform for oper to evalu and respond to appropri the most signific find that aros from,Neutral
125,health interventions could be a powerful weapon against obesity. herein lays the essence of a clear definition and recommendation of a policy that serves the purpose of curtailing the epidemic of obesity and constructing future learning capabilities of youth. the major findings of the report encompass a,health intervent could be a power weapon against obes herein lay the essenc of a clear definit and recommend of a polici that serv the purpos of curtail the epidem of obes and construct futur learn capabl of youth the major find of the report encompass a,Negative
126,"that can be used to obtain information about the existence, location and extension of the fault in mechanical systems by non destructive tests. this paper presents a technique for structural health monitoring (shm) based on lamb waves approach using piezoelectric material as actuators and sensors. lamb",that can be use to obtain inform about the exist locat and extens of the fault in mechan system by non destruct test thi paper present a techniqu for structur health monitor she base on lamb wave approach use piezoelectr materi as actuat and sensori lamb,Negative
127,"for establishment of secure communication in e-health. this architecture focuses on five security indicators of authorization, authentication, integrity, non-repudiation and confidentiality. in this paper, we propose an authentication architecture that uses a strong, two factor authentication mechanism",for establish of secur commun in e-health thi architectur focus on five secur indic of author authent integr non-repudi and confidenti in thi paper we propos an authent architectur that use a strong two factor authent mechan,Positive
128,"the machine learning and pervasive sensing technologies found in smart homes offer unprecedented opportunities for providing health monitoring and assistance to individuals experiencing difficulties living independently at home. in order to monitor the functional health of smart home residents, we",the machin learn and evas sens technolog found in smart home offer unpreced opportun for provid health monitor and assist to individu experienc difficulti live independ at home in order to monitor the function health of smart home resid we,Positive
129,abstract-this work is part of cnepru ( university research project in,abstract-thi work is part of cnepru univers research project in,Positive
130,"the contents of this report reflect the view of the author, who is responsible for the facts and the accuracy of the information presented herein. this document is disseminated under the sponsorship of the department of transportation, university",the content of thi report reflect the view of the author who is respons for the fact and the accuraci of the inform present herein thi document is dissemin under the sponsorship of the depart of transport univers,Negative
131,"abstract. the past few years have witnessed a rapid advancement of mobile healthcare systems. however, in the mobile computing environment, the resource fluctuations, stringent application requirements and user mobility have severely hindered the performance and reliability of the healthcare service delivery. the current approaches to solve this resource supply and service demand mismatch problem either limit the adaptation to an isolated node or require significant user's involvement. given the distributed processing paradigm of mhealth system, we propose that a new adaptation approach could be dynamically redistributing processing tasks across distributed nodes. this phd research addresses two main issues to validate this approach: (1) computation of a suitable assignment of tasks at compile-time or run-time; and (2) dynamic distribution of tasks across the nodes according to this new assignment at run-time. 1",abstract the past few year have wit a rapid advanc of mobil healthcar system howev in the mobil comput environ the resourc fluctuat stringent applic requir and user mobil have sever hinder the perform and reliabl of the healthcar servic deliveri the current approach to solv thi resourc suppli and servic demand dispatch problem either limit the adapt to an isol node or requir signific user 's involv given the distribut process paradis of health system we propos that a new adapt approach could be dynam redistribut process task across distribut node thi pad research address two main issu to valid thi approach 1 amput of a suitabl assign of task at compile-tim or run-tim and 2 dynam distribut of task across the node accord to thi new assign at run-tim 1,Positive
132,"hal is a multi-disciplinary open access archive for the deposit and dissemination of sci-entific research documents, whether they are pub-lished or not. the documents may come from teaching and research institutions in france or abroad, or from public or private research centers. l’archive ouverte pluridisciplinaire hal, est destinée au dépôt et a ̀ la diffusion de documents scientifiques de niveau recherche, publiés ou non, émanant des établissements d’enseignement et de recherche français ou étrangers, des laboratoires publics ou privés.",had is a multi-disciplinari open access archiv for the deposit and dissemin of si-beatif research document whether they are pub-wish or not the document may come from teach and research institut in franc or abroad or from public or privat research center l ’ archiv overt pluridisciplinair had est destined́ au dépôt et a ̀ la diffus de document scientifiqu de niveau recherch publić ou non émeant de établiss d ’ enseign et de recherch francȩhi ou éstrang de laboratori public ou drivé,Neutral
133,bl ic di sc lo su re a ut ho riz ed pu bl ic di sc lo su re a ut ho riz ed pu bl ic di sc lo su re a ut ho riz ed pu bl ic di sc lo su re a ut ho riz ed,bl in di s lo s re a ut ho rid ed up bl in di s lo s re a ut ho rid ed up bl in di s lo s re a ut ho rid ed up bl in di s lo s re a ut ho rid ed,Neutral
134,#NAME?,base and ambulatori health monitor moreov bearabl devic or smart home with extensor are also potenti solut all these system can provid a safe and comfort environ for home healthcar ill prevent and citizen medicin index terms—ambulatori measur biomimet citizen,Negative
135,for health and disability support. it is not only the increasing numbers of people requiring care in the future but also social changes that will increase pressures on aged care and health services. the level of informal care that,for health and disabl support it is not onli the increas number of peopl requir care in the futur but also social chang that will increas pressur on age care and health servic the level of inform care that,Neutral
136,". such applications of smart materials involving catalysis chemistry, sensor chemistry, and chemistry relevant to decontamination methodology are especially applicable to environmental problems. environ health perspect 1 05(suppl 1):55-63 (1997) key words: decontamination coatings, environmental sensors, responsive",such applic of smart materi involv paralysi chemistri senior chemistri and chemistri relev to contamin methodolog are especi applic to environment problem environ health respect 1 05 suppli 1 55-63 1997 key word contamin coat environment sensori respons,Negative
137,"abstract. with the rapid growth of the elderly population, there is a need to assess the ability of elders to maintain an independent and healthy lifestyle. one possible method is to employ the concepts of ambient intelligence to remotely monitor an elder’s activity. the smarthouse project uses a",abstract with the rapid growth of the elderli popul there is a need to assess the abil of elder to maintain an independ and healthi lifestyl one possibl method is to employ the concept of absent intellig to remot monitor an elder ’ s activ the smarthous project use a,Neutral
138,"more complex situation, namely recognizing activities when they are interweaved in complex and realistic scenarios. this technology is beneficial for monitoring the health of smart environment residents and for correlating activities with parameters such as energy usage. we describe our approach",more complex situat name recogn activ when they are interweav in complex and realist scenario thi technolog is benefici for monitor the health of smart environ resid and for correct activ with paramet such as energi usag we describ our approach,Negative
139,"the machine learning and pervasive sensing technologies found in smart homes offers opportunities for providing health monitoring and assistance to individuals experiencing difficulties living independently at home. to monitor the functional health of smart home residents, there is a need to design",the machin learn and evas sens technolog found in smart home offer opportun for provid health monitor and assist to individu experienc difficulti live independ at home to monitor the function health of smart home resid there is a need to design,Negative
140,"abstract—the growing availability of ubiquitous computing capabilities can enhance life quality. new smart sensor devices are constantly appearing in various markets, including the health industry. the functions provided by such modern sensor devices enable system developers to create healthcare",abstract—th grow avail of ubiquit comput capabl can enhanc life qualiti new smart senior devic are constantli appear in variou market includ the health industri the function provid by such modern senior devic enabl system develop to creat healthcar,Positive
141,"abstract: smart fabrics enable the integration of electronics into fabric. they can serve as a suitable sensor, providing around the clock assistance for the real time monitoring of health parameters. in this work, we aim to develop a free standing piezoelectric cantilever sensor integrated over",abstract smart fabric enabl the integr of electron into fabric they can serv as a suitabl senior provid around the clock assist for the real time monitor of health paramet in thi work we aim to develop a free stand piezoelectr cantilev senior integr over,Positive
142,"providing affordable, high-quality healthcare to older adults, while enabling them to live independently longer, is critical. as baby boomers grow older and life expectancies increase, we need advances in health service-delivery models that address an increasing number of chronic conditions in ways",provid unford high-qual healthcar to older adult while enabl them to live independ longer is critic as babi border grow older and life expect increas we need advanc in health service-deliveri model that address an increas number of chronic condit in way,Positive
143,"smart cards are convenient and reasonably secure cryptographic tokens. we will therefore see an increasing number of smart card systems as electronic purses, personal health information storages, pay-tv, etc. this paper will discuss the difficulty of making smart cards tamper-resistant to persons",smart card are conveni and reason secur cryptograph token we will therefor see an increas number of smart card system as electron purs person health inform storag pay-to etc thi paper will discuss the difficulti of make smart card temper-resist to person,Positive
144,this paper discusses a personalized heart monitoring system using smart phones and wireless (bio) sensors. based on several scenarios we present the functionality of a prototype we have built. the application is capable of monitoring the health of high risk cardiac patients. the smart phone,thi paper discuss a person heart monitor system use smart phone and tireless big sensori base on sever scenario we present the function of a prototyp we have built the applic is capabl of monitor the health of high risk cardiac patient the smart phone,Positive
145,"of urban life in real-time. recently, solanas et al. [1] introduced the concept of smart health (s-health) in which the resources of a smart city are exploited to facilitate the provision of healthcare services to citizens. in this position paper we explore the potentials of s-health in stress management",of urban life in real-tim recent solana et al 1 introduc the concept of smart health s-health in which the resourc of a smart citi are exploit to facilit the provis of healthcar servic to citizen in thi posit paper we explor the potenti of s-health in stress manag,Positive
146,"in smart homes offer unmatched opportunities for providing health monitoring and assistance to individuals experiencing difficulties living independently at home. in order to monitor the functional health of smart home people, we need to design technologies to recognize activities that people normally",in smart home offer snatch opportun for provid health monitor and assist to individu experienc difficulti live independ at home in order to monitor the function health of smart home peopl we need to design technolog to recogn activ that peopl normal,Neutral
147,"study is intended to contribute to more explicit theory of how environmental design contributes to walking. keywords urban design, walking, smart growth, public health, new urbanism the impact of environmental design on physical activity is a heavily studied area across a variety of disciplines",studi is intend to contribut to more explicit theori of how environment design contribut to walk keyword urban design walk smart growth public health new organ the impact of environment design on physic activ is a heavili studi area across a varieti of disciplin,Negative
148,in mental health studies,in mental health studi,Negative
149,"abstract:- the aim of the study is to enlighten the youth and the parents of the society to be aware of the consequences that are to be faced by the young generation and to become conscious that how the excess usage of the smart phones is going to put its impact on their health, life style",abstract the aim of the studi is to enlighten the youth and the parent of the societi to be awar of the consequ that are to be face by the young gener and to becom consciou that how the excess usag of the smart phone is go to put it impact on their health life style,Positive
150,"recent advances in technology have made possible the emergence of health smart homes (chan et al., 2008) designed to improve daily living conditions and independence for the population with loss of autonomy. health smart homes are aiming at assisting disabled and the growing number of elderly",recent advanc in technolog have made possibl the emerg of health smart home than et al 2008 design to improv daili live condit and independ for the popul with loss of autonomi health smart home are aim at assist disabl and the grow number of elderli,Neutral
151,"guidelines. clinical guidelines represent well documented best practices in health care and are fundamental aspects of evidence-based medicine. however, at the bedside, such clinical guidelines remain difficult to use by the clinical staff. recently, we have designed and implemented the knowledge-based smart",guidelin clinic guidelin repres well document best practic in health care and are fundament aspect of evidence-bas medicin howev at the bedsid such clinic guidelin remain difficult to use by the clinic staff recent we have design and implement the knowledge-bas smart,Neutral
152,abstract. economists agree that in the not too distant future the hap-piness level of a country could replace the common market health mea-sures such as gdp or at least serve as a strong supplement as a measure of successful policy. paper-based questionnaires are still the common method to measure,abstract economist agre that in the not too distant futur the had-princess level of a countri could replac the common market health me-sur such as gdp or at least serv as a strong supplement as a measur of success polici paper-bas questionnair are still the common method to measur,Neutral
153,"mobile health (mhealth) applications are increasingly seen as cost-effective alter-natives for hospital care. in this paper, it is investigated whether a smart phone microphone-based application can replace a more common differential-pressure spirom-etry sensor. moreover, we investigate the steps",mobil health health applic are increasingli seen as cost-effect alter-n for hospit care in thi paper it is investig whether a smart phone microphone-bas applic can replac a more common differential-pressur spirit-tri senior moreov we investig the step,Positive
154,abstract introduction: health professionals are a,abstract introduct health profession are a,Negative
155,"pollution is difficult to control with those treatments. the organizations which discharge large amounts of nitrates into water systems (e.g., dairies) have economic justification, but their operations affect human health and ecosystem sustainability. in this paper, we describe a tradable permit system",pollut is difficult to control with those treatment the organ which discharg larg amount of nitrat into water system e.g fairi have econom justif but their oper affect human health and ecosystem sustain in thi paper we describ a readabl permit system,Negative
156,"abstract the ec funded 'smarthomes' project commenced in 2001 as a 3 year programme. the primary objective is to establish internet-based energy services and test these within field trials in sweden, greece, the czech republic and the uk. the tasks include the prototyping and testing",abstract the c fund 'smarthom project commenc in 2001 as a 3 year programm the primari object is to establish internet-bas energi servic and test these within field trial in sweden greec the czech republ and the up the task includ the prototyp and test,Positive
157,"a smart home provides living environment with comfortable, convenient, energy saving, safety and health care place to people live in. from technology viewpoint, its core is information system with physical manipulation capability which is referred as cyber physical system. most of such systems",a smart home provid live environ with comfort conveni energi save safeti and health care place to peopl live in from technolog viewpoint it core is inform system with physic manipul capabl which is refer as saber physic system most of such system,Negative
158,"vehicle fuel consumption and emission rates in kuwait have increased considerably over recent decades, and are now causing health and economic problems. a three-lane smart roundabout is a new and innovative design idea that can help to mitigate these issues. the smart roundabout was designed with a",vehicl fuel consumpt and emiss rate in wait have increas consider over recent decad and are now caus health and econom problem a three-lan smart roundabout is a new and innov design idea that can help to mitig these issu the smart roundabout wa design with a,Positive
159,"will enable people to monitor their health (among others), those of their family members, and obtain interesting statistical information from groups of people that they are interested in, subject to the privacy settings of the individuals. an infrastructure support is required for the development",will enabl peopl to monitor their health among other those of their famili member and obtain interest statist inform from group of peopl that they are interest in subject to the privaci set of the individu an infrastructur support is requir for the develop,Positive
160,"the paper discusses the development of polymer composite materials based on carbon nanotubes. carbon nanotubes can be used to form polymer hybrid materials that have good elastic properties, piezoresistive sensing, and electrochemical actuation. of particular interest are smart nanocomposite",the paper discuss the develop of polym composit materi base on carbon nanotub carbon nanotub can be use to form polym horrid materi that have good elast properti piezoresist sens and electrochem situat of particular interest are smart nanocomposit,Neutral
161,"is such which can be worn and performs smart applications like tracking health related information, sync the information with the database etc. smart watch is a mobile device which comes under wearable technology and keeps people updated about their day-to-day task without them checking their smartphone every",is such which can be worn and perform smart applic like crack health relat inform son the inform with the databas etc smart watch is a mobil devic which come under bearabl technolog and keep peopl updat about their day-to-day task without them check their smartphon everi,Positive
162,"abstract—we present a testbed for exploring novel smart refrigerator interactions, and identify three key adoption-limiting interaction shortcomings of state-of-the-art smart fridges: lack of 1) user experience focus, 2) low-intrusion object recognition and 2) automatic item position detection. our",abstract—w present a test for explor novel smart refriger interact and identifi three key adoption-limit interact shortcom of state-of-the-art smart bridg lack of 1 user experi focu 2 low-intrus object recognit and 2 automat item posit detect our,Positive
163,"computer systems have shown in the past (zajicek, 2000) that they can be powerful allies in home-based health care and offer great potential to improve quality of life- but only if they are designed to take into consideration the specific needs of their beneficiaries. satisfying usability as well",comput system have shown in the past zajicek 2000 that they can be power alli in home-bas health care and offer great potenti to improv qualiti of life but onli if they are design to take into consider the specif need of their beneficiari satisfi liabil as well,Positive
164,"(shaal) systems utilize advanced and ubiquitous technologies including sensors and other devices that are integrated in the residential infrastructure or wearable, to capture data describing activities of daily living and health related events. however, with the introduction of these technology",shall system util advanc and ubiquit technolog includ sensori and other devic that are integr in the residenti infrastructur or bearabl to captur data describ activ of daili live and health relat event howev with the introduct of these technolog,Negative
165,"there exist a substantive number of applications that have been designed for smart homes. they may include; home monitoring, security, comfort, alarm, health monitoring etc. research shows that the number of people at the age of 60 or more around the globe is l ikely to increase. for instance",there exist a substant number of applic that have been design for smart home they may includ home monitor secur comfort alarm health monitor etc research show that the number of peopl at the age of 60 or more around the globe is l like to increas for instanc,Positive
166,"guidelines. clinical guidelines represent well documented best practices in health care and are fundamental aspects of evidence-based medicine. however, at the bedside, such clinical guidelines remain difficult to use by the clinical staff. recently, we have designed and implemented the knowledge-based smart",guidelin clinic guidelin repres well document best practic in health care and are fundament aspect of evidence-bas medicin howev at the bedsid such clinic guidelin remain difficult to use by the clinic staff recent we have design and implement the knowledge-bas smart,Positive
167,areas. distributed control algorithms at different scales within the grid are being developed and deployed; yet their effects on each other and the grid’s health and stability has not been sufficiently studied due to the lack of a capable simulator. simulators in the literature can solve the power,area distribut control algorithm at differ scale within the grid are be develop and deploy yet their effect on each other and the grid ’ s health and stabil ha not been suffici studi due to the lack of a capabl simul simul in the literatur can solv the power,Negative
168,"circumstances. in addition, the measurement can be used as a tool for health coaching applications or effective telecare services aimed in enhancing the user’s well being.",circumst in addit the measur can be use as a tool for health reach applic or effect telecar servic aim in enhanc the user ’ s well be,Neutral
169,"treatment. it commonly contains nutrient-rich fecal matter along with bacteria, viruses, parasites, heavy metals, pharmaceuticals and other chemical contaminants—many known to cause health effects. for farmers, sludge is a less expensive alternative to synthetic fertilizers, but use of sewage sludge",treatment it commonli contain nutrient-rich faecal matter along with bacteria sinus parasit heavi metal pharmaceut and other chemic contaminants—mani known to caus health effect for farmer smudg is a less expens altern to synthesi fertil but use of senat smudg,Neutral
170,", as well as the indirect effects through income, were also considered. longitudinal data were obtained as part of a national study, the harvard study of health and life quality, and proposed models were evaluated with structural equation modeling. results supported a partially mediated model",as well as the indirect effect through incom were also consid longitudin data were obtain as part of a nation studi the harvard studi of health and life qualiti and propos model were evacu with structur equat model result support a partial medit model,Positive
171,". energy is linked with all aspects of development and has a tremendous impact on the well being of urban citizens, health, education, productivity, economic opportunities, etc. unfortunately, the current situation on energy supply and consumption is extremely unfair and wide disparities exist between",energi is link with all aspect of develop and ha a tremend impact on the well be of urban citizen health educ product econom opportun etc unfortun the current situat on energi suppli and consumpt is extrem unfair and wide dispar exist between,Positive
172,"infrastructure systems. virginia department of transportation (vdot) manages virginia’s highway infrastructure through its five high-technology communications hubs called smart traffic centers (stcs). stcs are staffed by transportation engineers, who monitor traffic flow, provide traveler information, and manage",infrastructur system virginia depart of transport vot manag virginia ’ s highway infrastructur through it five high-technolog commun hub call smart traffic center sac sac are stuf by transport engin who monitor traffic flow provid travel inform and manag,Negative
173,"collected through smart phones. from a prototype deployment with users in real life context, we found that this type of personal counseling is influential in changing peoples ’ smoking behaviors for the better. in addition, being made aware of actual smoking habits helps people form strategies that improve",collect through smart phone from a prototyp employ with user in real life context we found that thi type of person counsel is influenti in chang peopl ’ smoke behavior for the better in addit be made awar of actual smoke habit help peopl form strateg that improv,Negative
174,recognition. this technology is beneficial for health monitoring of a smart environment resident but accurate recognition is difficult for real-world situations. we describe our approach to activity recognition and discuss how incorporating temporal reasoning improves the accuracy of our algorithms. we,recognit thi technolog is benefici for health monitor of a smart environ resid but accur recognit is difficult for real-world situat we describ our approach to activ recognit and discuss how incorpor tempor reason improv the accuraci of our algorithm we,Positive
175,the health system in developed countries is facing a problem of scalability in order to accommodate the increased proportion of the elderly population. scarce resources cannot be sustained unless innovative technology is considered to provide health care in a more effective way. the smart home,the health system in develop countri is face a problem of capabl in order to accommod the increas proport of the elderli popul scarc resourc can not be sustain unless innov technolog is consid to provid health care in a more effect way the smart home,Positive
176,a critical part of structural health monitoring is accurate detection of damages in the structure. this paper presents the results of two multi-class damage detection and identification approaches based on classification using support vector machine (svm) and artificial neural networks (ann,a critic part of structur health monitor is accur detect of damag in the structur thi paper present the result of two multi-class damag detect and identif approach base on classif use support vector machin sum and artifici neutral network ann,Negative
177,"system is today to any disruption. 1 in this context, climate change negotiators need to be talking to their counterparts in the world of food and agriculture—not just agriculture ministries, but also ministries of health, rural development and, where they exist, food. where governments are also donors",system is today to ani disrupt 1 in thi context climat chang negoti need to be talk to their counterpart in the world of food and agriculture—not just agricultur minist but also minist of health rural develop and where they exist food where govern are also donor,Positive
178,"on the relationship between management and operatives, the formulation of health and safety rules and the risk perception and risk behavior of operatives. in addition, we contrast sensornetwork inspired and smart artifact inspired compliance systems, and make the case that these technology models have a strong",on the relationship between manag and oper the formul of health and safeti rule and the risk percept and risk behavior of oper in addit we contrast sensornetwork inspir and smart artific inspir complianc system and make the case that these technolog model have a strong,Neutral
179,the pervasive sensing technologies found in smart homes offer unprecedented opportunities for providing health monitoring and assistance to individuals experiencing difficulties living independently at home. a primary challenge that needs to be tackled to meet this need is the ability to recognize,the evas sens technolog found in smart home offer unpreced opportun for provid health monitor and assist to individu experienc difficulti live independ at home a primari challeng that need to be tackl to meet thi need is the abil to recogn,Positive
180,abstract the objective of this study is to develop a wireless ultrasonic structural health monitoring (shm) system for aircraft wing inspection. in part i of the study,abstract the object of thi studi is to develop a tireless ultrason structur health monitor she system for aircraft wing inspect in part i of the studi,Positive
181,"recognition of activities of daily living. we started from a set of data acquired in daily life during an experimentation in the health smart home of the timc-imag lab. from this restricted set of data, we obtained models for seven activities of daily living and test, with leaveone-out method, the performance",recognit of activ of daili live we start from a set of data acquir in daili life dure an experiment in the health smart home of the time-imag lab from thi restrict set of data we obtain model for seven activ of daili live and test with leaveone-out method the perform,Positive
182,"abstract—smart houses are considered a good alternative for the independent life of older persons and persons with disabilities. numerous intelligent devices, embedded into the home environment, can provide the resident with both movement assistance and 24-h health monitoring. modern home",abstract—smart hous are consid a good altern for the independ life of older person and person with disabl numer intellig devic embed into the home environ can provid the resid with both movement assist and 24-h health monitor modern home,Positive
183,"to face the rapid growth of the world elderly population, health smart homes with sensing technology are emerging to automatically detect early loss of autonomy using objective criterion such as the activity of daily living grid. the paper presents data mining techniques to classify seven",to face the rapid growth of the world elderli popul health smart home with sens technolog are emerg to automat detect earli loss of autonomi use object criterion such as the activ of daili live grid the paper present data mine techniqu to classifi seven,Neutral
184,abstract a smart sensor using a mechanical memory that can monitor the peak strain or displacement was developed. the mechanism of mechanical memory relies on the pure plastic extension of sensing section that is realized by elastic buckling of a thin wire. the change in the length of sensing,abstract a smart senior use a mechan memori that can monitor the peak strain or displac wa develop the mechan of mechan memori relief on the pure plastic extens of sens section that is realiz by elast suckl of a thin wire the chang in the length of sens,Neutral
185,this paper considers the role of smart home technology in relation to current housing design principles within the field of health and well being. the concepts of barrier free `lifetime homes' and universal design are considered and uk community care and building regulations,thi paper consid the role of smart home technolog in relat to current hous design principl within the field of health and well be the concept of barrier free lifetim home and univers design are consid and up commun care and build regul,Neutral
186,"abstract. optical fiber sensors offer a number of advantages for spacecraft applications. a principal application is strain sensing for structural health monitoring, shape determination, and spacecraft qualification testing. this paper will review the results of recent work at the naval research",abstract optic finer sensori offer a number of advantag for statecraft applic a princip applic is strain sens for structur health monitor shape determin and statecraft qualif test thi paper will review the result of recent work at the naval research,Positive
187,the feasibility and advantages of smart bridge cable based on fbgs are discussed. and the sensing properties of fbgs installed in the cables under dead load are tested. the experimental results and practical applications show that the smart bridge cable is proper to be used in bridge cables,the sensibl and advantag of smart bridg cabl base on fig are discuss and the sens properti of fig instal in the tabl under dead load are test the experiment result and practic applic show that the smart bridg cabl is proper to be use in bridg tabl,Neutral
188,patient’s information is an important component of the patient privacy in any health care system that is based on the overall quality of each patient in the health care system. the main commitment for any health care system is to improve the quality of the patient and privacy of patient’s,patient ’ s inform is an import compon of the patient privaci in ani health care system that is base on the overal qualiti of each patient in the health care system the main commit for ani health care system is to improv the qualiti of the patient and privaci of patient ’ s,Positive
189,"we describe the generic smart alarm, an architectural framework for the development of decision support modules for a variety of clinical applications. the need to quickly process patient vital signs and detect patient health events arises in many clinical scenarios, from clinical decision support",we describ the genet smart alarm an architectur framework for the develop of decis support nodul for a varieti of clinic applic the need to quickli process patient vital sign and detect patient health event aris in mani clinic scenario from clinic decis support,Neutral
